SN,BodyStyle,RatingClass,Cutaway,Finish,TopWood,TopTone,TopOvertones,BackSideWood,BackTone,BackOvertones,TopFrequency,BackFrequency,FundamentalFrequency,NeckWood
41,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Myrtlewood,9.4,9,179,222,101.7,Myrtlewood
42,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Myrtlewood,9.4,9,180,222,101.955,Myrtlewood
43,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Myrtlewood,9.4,9,181,223,102.4625,Myrtlewood
44,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Myrtlewood,9.4,9,182,225,103.2225,Myrtlewood
45,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Myrtlewood,9.4,9,183,224,103.225,Myrtlewood
46,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Mahogany,9,7,179,222,101.7,Mahogany
47,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Mahogany,9,7,180,222,101.955,Mahogany
48,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Mahogany,9,7,181,223,102.4625,Mahogany
49,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Mahogany,9,7,182,225,103.2225,Mahogany
50,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Mahogany,9,7,183,224,103.225,Mahogany
51,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Indian Rosewood,9.1,6.8,179,222,101.7,Mahogany
52,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Indian Rosewood,9.1,6.8,180,222,101.955,Mahogany
53,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Indian Rosewood,9.1,6.8,181,223,102.4625,Mahogany
54,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Indian Rosewood,9.1,6.8,182,225,103.2225,Mahogany
55,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Indian Rosewood,9.1,6.8,183,224,103.225,Mahogany
56,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Figured Maple,7.1,5.5,179,222,101.7,Mahogany
57,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Figured Maple,7.1,5.5,180,222,101.955,Mahogany
58,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Figured Maple,7.1,5.5,181,223,102.4625,Mahogany
59,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Figured Maple,7.1,5.5,182,225,103.2225,Mahogany
60,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Figured Maple,7.1,5.5,183,224,103.225,Mahogany
61,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Macassar Ebony,6.7,4.2,179,222,101.7,Mahogany
62,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Macassar Ebony,6.7,4.2,180,222,101.955,Mahogany
63,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Macassar Ebony,6.7,4.2,181,223,102.4625,Mahogany
64,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Macassar Ebony,6.7,4.2,182,225,103.2225,Mahogany
65,Olympus,Bad,No,Gloss,Sitka Spruce,8.2,8,Macassar Ebony,6.7,4.2,183,224,103.225,Mahogany
66,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Koa,9.2,8,179,222,101.7,Mahogany
67,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Koa,9.2,8,180,222,101.955,Mahogany
68,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Koa,9.2,8,181,223,102.4625,Mahogany
69,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Koa,9.2,8,182,225,103.2225,Mahogany
70,Olympus,Good,No,Gloss,Sitka Spruce,8.2,8,Figured Koa,9.2,8,183,224,103.225,Mahogany
71,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Myrtlewood,9.4,9,179,222,101.7,Myrtlewood
72,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Myrtlewood,9.4,9,180,222,101.955,Myrtlewood
73,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Myrtlewood,9.4,9,181,223,102.4625,Myrtlewood
74,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Myrtlewood,9.4,9,182,225,103.2225,Myrtlewood
75,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Myrtlewood,9.4,9,183,224,103.225,Myrtlewood
76,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Mahogany,9,7,179,222,101.7,Mahogany
77,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Mahogany,9,7,180,222,101.955,Mahogany
78,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Mahogany,9,7,181,223,102.4625,Mahogany
79,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Mahogany,9,7,182,225,103.2225,Mahogany
80,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Mahogany,9,7,183,224,103.225,Mahogany
81,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Indian Rosewood,9.1,6.8,179,222,101.7,Mahogany
82,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Indian Rosewood,9.1,6.8,180,222,101.955,Mahogany
83,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Indian Rosewood,9.1,6.8,181,223,102.4625,Mahogany
84,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Indian Rosewood,9.1,6.8,182,225,103.2225,Mahogany
85,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Indian Rosewood,9.1,6.8,183,224,103.225,Mahogany
86,Olympus,Bad,No,Gloss,Adirondack Spruce,8.4,8.3,Macassar Ebony,6.7,4.2,179,222,101.7,Mahogany
87,Olympus,Bad,No,Gloss,Adirondack Spruce,8.4,8.3,Macassar Ebony,6.7,4.2,180,222,101.955,Mahogany
88,Olympus,Bad,No,Gloss,Adirondack Spruce,8.4,8.3,Macassar Ebony,6.7,4.2,181,223,102.4625,Mahogany
89,Olympus,Bad,No,Gloss,Adirondack Spruce,8.4,8.3,Macassar Ebony,6.7,4.2,182,225,103.2225,Mahogany
90,Olympus,Bad,No,Gloss,Adirondack Spruce,8.4,8.3,Macassar Ebony,6.7,4.2,183,224,103.225,Mahogany
91,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Koa,9.2,8,179,222,101.7,Mahogany
92,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Koa,9.2,8,180,222,101.955,Mahogany
93,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Koa,9.2,8,181,223,102.4625,Mahogany
94,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Koa,9.2,8,182,225,103.2225,Mahogany
95,Olympus,Good,No,Gloss,Adirondack Spruce,8.4,8.3,Figured Koa,9.2,8,183,224,103.225,Mahogany
96,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Myrtlewood,9.4,9,179,222,101.7,Myrtlewood
97,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Myrtlewood,9.4,9,180,222,101.955,Myrtlewood
98,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Myrtlewood,9.4,9,181,223,102.4625,Myrtlewood
99,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Myrtlewood,9.4,9,182,225,103.2225,Myrtlewood
100,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Myrtlewood,9.4,9,183,224,103.225,Myrtlewood
101,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Mahogany,9,7,179,222,101.7,Mahogany
102,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Mahogany,9,7,180,222,101.955,Mahogany
103,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Mahogany,9,7,181,223,102.4625,Mahogany
104,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Mahogany,9,7,182,225,103.2225,Mahogany
105,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Mahogany,9,7,183,224,103.225,Mahogany
106,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Indian Rosewood,9.1,6.8,179,222,101.7,Mahogany
107,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Indian Rosewood,9.1,6.8,180,222,101.955,Mahogany
108,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Indian Rosewood,9.1,6.8,181,223,102.4625,Mahogany
109,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Indian Rosewood,9.1,6.8,182,225,103.2225,Mahogany
110,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Indian Rosewood,9.1,6.8,183,224,103.225,Mahogany
111,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Maple,7.1,5.5,179,222,101.7,Mahogany
112,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Maple,7.1,5.5,180,222,101.955,Mahogany
113,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Maple,7.1,5.5,181,223,102.4625,Mahogany
114,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Maple,7.1,5.5,182,225,103.2225,Mahogany
115,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Maple,7.1,5.5,183,224,103.225,Mahogany
116,Olympus,Bad,No,Gloss,Sunken Redwood,8.4,10,Macassar Ebony,6.7,4.2,179,222,101.7,Mahogany
117,Olympus,Bad,No,Gloss,Sunken Redwood,8.4,10,Macassar Ebony,6.7,4.2,180,222,101.955,Mahogany
118,Olympus,Bad,No,Gloss,Sunken Redwood,8.4,10,Macassar Ebony,6.7,4.2,181,223,102.4625,Mahogany
119,Olympus,Bad,No,Gloss,Sunken Redwood,8.4,10,Macassar Ebony,6.7,4.2,182,225,103.2225,Mahogany
120,Olympus,Bad,No,Gloss,Sunken Redwood,8.4,10,Macassar Ebony,6.7,4.2,183,224,103.225,Mahogany
121,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Koa,9.2,8,179,222,101.7,Mahogany
122,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Koa,9.2,8,180,222,101.955,Mahogany
123,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Koa,9.2,8,181,223,102.4625,Mahogany
124,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Koa,9.2,8,182,225,103.2225,Mahogany
125,Olympus,Good,No,Gloss,Sunken Redwood,8.4,10,Figured Koa,9.2,8,183,224,103.225,Mahogany
126,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Myrtlewood,9.4,9,179,222,101.7,Myrtlewood
127,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Myrtlewood,9.4,9,180,222,101.955,Myrtlewood
128,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Myrtlewood,9.4,9,181,223,102.4625,Myrtlewood
129,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Myrtlewood,9.4,9,182,225,103.2225,Myrtlewood
130,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Myrtlewood,9.4,9,183,224,103.225,Myrtlewood
131,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Mahogany,9,7,179,222,101.7,Mahogany
132,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Mahogany,9,7,180,222,101.955,Mahogany
133,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Mahogany,9,7,181,223,102.4625,Mahogany
134,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Mahogany,9,7,182,225,103.2225,Mahogany
135,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Mahogany,9,7,183,224,103.225,Mahogany
136,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Indian Rosewood,9.1,6.8,179,222,101.7,Mahogany
137,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Indian Rosewood,9.1,6.8,180,222,101.955,Mahogany
138,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Indian Rosewood,9.1,6.8,181,223,102.4625,Mahogany
139,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Indian Rosewood,9.1,6.8,182,225,103.2225,Mahogany
140,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Indian Rosewood,9.1,6.8,183,224,103.225,Mahogany
141,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Maple,7.1,5.5,179,222,101.7,Mahogany
142,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Maple,7.1,5.5,180,222,101.955,Mahogany
143,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Maple,7.1,5.5,181,223,102.4625,Mahogany
144,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Maple,7.1,5.5,182,225,103.2225,Mahogany
145,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Maple,7.1,5.5,183,224,103.225,Mahogany
146,Olympus,Bad,No,Gloss,Western Red Cedar,8.7,10,Macassar Ebony,6.7,4.2,179,222,101.7,Mahogany
147,Olympus,Bad,No,Gloss,Western Red Cedar,8.7,10,Macassar Ebony,6.7,4.2,180,222,101.955,Mahogany
148,Olympus,Bad,No,Gloss,Western Red Cedar,8.7,10,Macassar Ebony,6.7,4.2,181,223,102.4625,Mahogany
149,Olympus,Bad,No,Gloss,Western Red Cedar,8.7,10,Macassar Ebony,6.7,4.2,182,225,103.2225,Mahogany
150,Olympus,Bad,No,Gloss,Western Red Cedar,8.7,10,Macassar Ebony,6.7,4.2,183,224,103.225,Mahogany
151,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Koa,9.2,8,179,222,101.7,Mahogany
152,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Koa,9.2,8,180,222,101.955,Mahogany
153,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Koa,9.2,8,181,223,102.4625,Mahogany
154,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Koa,9.2,8,182,225,103.2225,Mahogany
155,Olympus,Good,No,Gloss,Western Red Cedar,8.7,10,Figured Koa,9.2,8,183,224,103.225,Mahogany
156,Olympus,Good,No,Gloss,Figured Myrtlewood,9.1,9,Figured Myrtlewood,9.4,9,179,222,101.7,Maple
157,Olympus,Good,No,Gloss,Figured Myrtlewood,9.1,9,Figured Myrtlewood,9.4,9,180,222,101.955,Maple
158,Olympus,Good,No,Gloss,Figured Myrtlewood,9.1,9,Figured Myrtlewood,9.4,9,181,223,102.4625,Maple
159,Olympus,Good,No,Gloss,Figured Myrtlewood,9.1,9,Figured Myrtlewood,9.4,9,182,225,103.2225,Maple
160,Olympus,Good,No,Gloss,Figured Myrtlewood,9.1,9,Figured Myrtlewood,9.4,9,183,224,103.225,Maple
161,Olympus,Good,No,Gloss,Mahogany,8.7,7,Mahogany,9,7,179,222,101.7,Mahogany
